Word,Valence,Arousal
PADDLE,5.05,5.05
PAGE,5.4,4.36
PAIL,5.08,4.26
PAINT,5.81,4.66
PAINTER,5.97,4.68
PAINTING,6.46,4.22
PALACE,6.35,5.39
PALM,5.69,3.81
PAN,5.39,4.38
PANTHER,5.52,6.78
PANTS,5.71,4.59
PAPER,5.75,4.29
PARCEL,5.65,4.81
PARENT,6.42,4.71
PARIS,6.69,5.84
PARROT,6.15,5.3
PARSLEY,5.79,4.04
PARTNER,6.67,4.87
PARTY,6.74,6.78
PASSAGE,5.58,4.57
PASSENGER,5.5,4.78
PASTA,6.76,4.61
PASTRY,7.03,4.59
PATH,5.81,4.01
PATIENT,5.03,4.79
PATIO,6.18,3.57
PATRIOT,5.78,5.73
PATROL,4.73,5.98
PAVEMENT,5.13,4.55
PAW,6.01,4.28
PAWN,4.51,4.94
PEACH,6.81,4.35
PEANUT,5.97,4.63
PEAR,6.33,4.21
PEARL,6.54,4.57
PEBBLE,5.39,4.07
PECAN,5.93,4.43
PEDAL,5.39,4.82
PEDESTRIAN,5.3,4.77
PELICAN,5.87,4.6
PELT,4.68,5.13
PEN,5.58,4.69
PENCIL,5.51,4.49
PENDULUM,5.2,4.57
PENGUIN,6.63,4.7
PENNY,5.6,4.65
PEOPLE,5.89,5.66
PEPPER,5.59,5.4
PERCH,5.46,4.39
PERFUME,6.09,5.3
PERISCOPE,5.28,4.97
PERMIT,5.09,4.95
PERSON,6.06,5.14
PERSONNEL,5.18,4.67
PHILOSOPHER,6.09,4.67
PHOTO,6.33,4.73
PHYSICIAN,5.3,5.91
PIANO,6.62,4.1
PICK,5.03,5.1
PICKLE,5.3,4.95
PICNIC,7.03,3.63
PICTURE,6.26,4.54
PIE,7.17,4.65
PIER,6,3.82
PIG,4.92,5.19
PIGEON,4.9,4.58
PIGMENT,5.38,4.72
PIKE,4.67,5.13
PILL,4.49,5.29
PILLOW,7.04,2.59
PILOT,5.85,5.76
PIMPLE,2.74,5.87
PIN,4.99,5
PIPE,4.72,4.87
PIRATE,4.28,6.7
PISTOL,3.81,7.26
PISTON,4.97,5.4
PIT,3.88,5.7
PITCHFORK,4.05,5.86
PIZZA,7.37,5.55
PLAID,5.37,4.41
PLANE,5.68,6.08
PLANET,6.34,5.31
PLANT,6.39,3.85
PLAQUE,3.85,5.2
PLASTER,4.82,4.56
POCKET,5.5,4.45
POCKETBOOK,5.52,4.79
POET,5.95,3.82
POISON,2.27,7.2
POLE,5.21,4.66
POLICE,4.68,7.09
POLITICIAN,3.33,6.31
POLYESTER,4.33,4.78
POND,6.42,3.11
PONY,6.5,4.56
POOL,6.7,4.12
POPCORN,6.67,4.75
POPE,4.9,4.31
PORCH,6.14,3.49
PORCUPINE,4.77,5.62
PORK,5.37,5.03
PORPOISE,5.91,4.53
PORT,5.47,4.66
PORTRAIT,5.97,4.26
POSSUM,4.26,4.99
POSTAGE,4.91,4.53
POT,5.3,4.52
POTATO,6.13,4.33
POTTERY,5.89,4.09
POWDER,5.39,4.25
PRAIRIE,6.14,3.19
PREACHER,4.91,4.88
PREDATOR,2.97,7.31
PRESIDENT,5.18,6.24
PRIEST,4.9,4.63
PRIMATE,5.34,5.52
PRINCE,5.85,5.51
PRINCESS,6.48,5.32
PRINTER,5.24,4.81
PRISON,2.21,7.11
PRISONER,2.53,6.85
PRODUCER,5.41,5.23
PROFESSIONAL,5.99,5.23
PROFESSOR,5.83,5.28
PROTON,5.43,5
PROTRACTOR,4.93,4.69
PRUNE,4.47,4.31
PUB,5.87,5.22
PUBLICATION,5.45,4.78
PUBLISHER,5.43,4.83
PUCK,5.06,5.16
PUDDING,6.78,4.4
PUDDLE,4.78,4.33
PUMP,5.08,4.91
PUMPKIN,6.36,4.37
PUPIL,5.43,4.97
PUPPY,7.78,4.99
PURSE,5.71,4.73
PUZZLE,6.3,5.52
QUAIL,5.69,4.35
QUARTER,6,4.93
QUEEN,5.77,5.47
QUILL,5.33,4.36
QUILT,6.34,3.2
YOKE,4.71,4.68
YOLK,5.11,4.37
YOUTH,6.39,5.02
ZEBRA,6.27,4.82
ZIPPER,5.33,4.99
ZOO,6.36,5.54
ZUCCHINI,5.52,4.55
RABBIT,6.52,4.41
RACCOON,5.02,5.47
RACK,5.15,4.8
RACKET,4.62,5.67
RADIATOR,4.89,5
RADIO,6.18,5.11
RADISH,4.81,4.46
RAFT,5.59,4.9
RAG,4.32,4.62
RAIL,5.2,4.76
RAILROAD,5.73,5.16
RAISIN,5.57,4.34
RAKE,4.88,4.8
RAM,5.11,5.54
RANCH,5.97,4.5
RASH,2.73,6.47
RASPBERRY,6.65,4.76
RAT,2.95,6.65
RATTLE,4.67,5.82
RAZOR,4.48,5.98
REBEL,4.5,6.72
RECEIPT,5.06,4.84
RECEPTIONIST,5.53,4.88
RECIPE,6.23,4.49
RECORD,5.68,4.85
REEF,6.28,4.27
REFEREE,5.09,5.48
REFRIGERATOR,5.94,4.47
REGISTER,5.04,4.85
REINDEER,6.39,4.59
RELATIVE,6.14,4.82
RELISH,5.39,4.52
REPORT,4.97,5.11
REPTILE,4.67,6.08
RESORT,6.76,3.77
RESTAURANT,6.44,5.12
RIB,5.34,4.87
RIBBON,6.08,4.09
RICE,6.26,4.13
RIDER,5.51,5.33
RIFLE,3.93,7.06
RING,6.42,5.52
RIVER,6.62,3.9
ROACH,2.16,6.94
ROAD,5.7,5.07
ROBBER,2.31,7.13
ROBE,5.67,3.66
ROBIN,6.43,4.02
ROBOT,5.74,5.7
ROCK,5.35,4.3
ROCKET,5.73,6.56
ROD,4.91,5.13
RODENT,2.88,6.53
ROOF,5.38,4.44
ROOM,5.7,4.06
ROOMMATE,5.18,5.33
ROOST,5.23,4.52
ROOSTER,5.33,5.4
ROOT,5.1,4.24
ROPE,5.11,4.92
ROSE,7.17,3.96
ROUGE,5.05,5.08
RUBY,6.74,5.3
RUG,5.48,3.94
RULER,4.96,4.87
RUM,5.8,5.19
RUNNER,5.75,5.69
RUST,3.37,5.03
SACK,4.93,4.38
SADDLE,5.5,4.68
SAGE,6.05,4.01
SAILOR,5.68,5.23
SALAD,6.17,4.19
SALESMAN,4.17,5.48
SALIVA,4.08,5.19
SALMON,5.6,4.6
SALOON,5.49,5.31
SALT,5.69,4.77
SAND,5.7,3.39
SANDPAPER,4.33,5.28
SANDWICH,6.82,4.63
SAP,4.69,4.52
SAPPHIRE,6.86,5.51
SARDINE,3.68,4.66
SATURN,6.11,5.31
SAUCER,5.31,4.29
SAUSAGE,5.75,5.06
SAW,4.6,5.77
SAXOPHONE,5.92,4.91
SCALE,4.82,4.91
SCALLOP,5.34,4.59
SCALPEL,3.8,6.64
SCAPEGOAT,3.16,6.21
SCARECROW,4.95,5.34
SCARF,5.74,4.2
SCENERY,6.93,3.28
SCHOOL,5.65,5.39
SCIENTIST,6.25,5.55
SCISSORS,5.12,5.38
SCOTCH,5.66,4.99
SCOUT,5.44,5.1
SCREEN,5.45,4.44
SCREW,4.92,5.36
SCREWDRIVER,5.08,5.11
SCRIBBLE,5.07,4.86
SCROLL,5.3,4.64
SCULPTURE,6.09,4.31
SEA,6.77,3.73
SEAFOOD,5.74,5.02
SEAGULL,5.19,4.34
SEAL,6.04,4.41
SEASHORE,7.09,3.31
SEAT,5.48,3.96
SECRETARY,5.65,5.08
SEED,5.98,4.28
SENATE,3.88,5.6
SENATOR,3.76,5.58
SERGEANT,4.9,6
SERPENT,3.63,6.78
SERVANT,4.05,5.24
SERVER,5.47,5.05
SHACK,4.5,4.59
SHAMPOO,6.02,4.08
SHARK,4.11,7.26
SHEARS,4.89,5.46
SHED,5.05,4.36
SHEEP,5.85,3.62
SHEET,5.57,3.9
SHELF,5.33,4.49
SHELL,5.68,3.98
SHELTER,6.05,4.04
SHEPHERD,5.75,3.89
SHERIFF,4.73,6.53
SHINGLE,4.46,4.79
SHIP,5.84,5.21
SHIRT,5.78,4.41
SHOE,5.76,4.45
SHOELACE,5.22,4.21
SHOP,5.96,5.37
SHORE,6.59,3.26
SHORTCAKE,6.74,4.72
SHORTS,5.77,4.57
SHOULDER,5.38,4.57
SHOVEL,4.72,5.12
SHOWER,6.72,3.91
SHRIMP,5.66,4.96
SHRINE,5.53,4.62
SHRUB,5.47,4.08
SHUTTER,4.96,4.58
SIBLING,6.33,4.97
SICKLE,4.08,5.82
SIDEWALK,5.44,4.35
SIDING,5.16,4.42
SIGN,5.43,4.79
SIGNATURE,5.6,4.68
SILK,6.72,3.77
SILVERWARE,5.47,4.39
SINK,4.94,4.56
SIREN,3.98,7.13
SIRLOIN,6.33,5.36
SISTER,6.52,4.43
SKATE,5.92,5.45
SKELETON,3.87,6.18
SKETCH,5.81,4.53
SKI,5.87,5.6
SKILLET,5.63,4.95
SKIN,5.72,5.02
SKIRT,6.18,5.41
SKULL,3.98,6.21
SKUNK,3.38,6.38
SKYSCRAPER,5.51,5.9
SLACKS,5.33,4.31
SLEEVE,5.32,4.24
SLEIGH,6.15,4.73
SLIDE,6.24,4.92
SLIME,2.97,5.91
SLOPE,5.14,4.71
SLUG,3.45,5.06
SMOG,2.7,5.7
SNACK,6.68,4.95
SNAIL,4.49,3.93
SNAKE,3.64,6.89
SNEAKER,5.76,4.7
SNOB,2.77,6.09
SNORKEL,5.72,5.12
SOAP,6.08,4.14
SOCIETY,5.28,5.67
SOCK,5.32,4.06
SOCKET,4.98,4.87
SODA,6.21,5.1
SOFA,6.18,3.25
SOFTBALL,5.59,5.01
SOLDIER,5.22,6.59
SPACE,6.39,5.03
SPAGHETTI,6.67,4.68
SPARROW,6.24,4.26
SPATULA,5.28,4.35
SPHINX,5.83,5.28
SPICE,6.17,5.52
SPIDER,3.04,6.95
SPINACH,5.36,4.42
SPINE,5.09,5.18
SPIT,2.94,6.03
SPONGE,5.19,4.13
SPOOL,5.18,4.21
SPOON,5.64,4.21
SPOUSE,6.82,5.02
SPRINKLE,6.22,4.45
SPY,3.98,6.39
SQUID,4.4,5.62
SQUIRREL,6.04,4.76
STABLE,5.75,3.84
STADIUM,5.79,6.01
STAFF,5.22,5.04
STAGE,5.55,5.44
STAIRS,5.1,5
STAKE,4.59,5.41
STALLION,6.18,5.8
STAMP,5.33,4.53
STAPLE,5.07,4.8
STAPLER,5.18,4.8
STAR,6.93,4.98
STATUE,5.7,4.43
STEAM,5.47,4.93
STEM,5.33,4.3
STEP,5.29,4.61
STEREO,6.32,5.33
STETHOSCOPE,4.89,5.49
STEW,5.91,4.35
STEWARDESS,5.69,5.12
STICKER,5.6,4.61
STOCKING,5.59,4.73
STOMACH,4.82,5.09
STONE,5.27,4.37
STOOL,4.7,4.47
STORE,5.82,5.05
STOVE,5.62,5.03
STRANGER,4.02,6.22
STRAW,5.31,4.14
STRAWBERRY,7.16,4.32
STREAM,6.52,3.25
STREET,5.4,5.03
STRING,5.38,4.46
STUDENT,5.87,5.19
STUMP,4.38,4.76
STY,3.15,5.36
SUBMARINE,5.41,5.44
SUBURB,5.49,4.18
SUBWAY,5.29,5.6
SUGAR,6.66,5.2
SUIT,5.73,4.89
SUITCASE,5.36,4.93
SUITE,6.1,4.18
SUMMIT,5.86,5.37
SUN,7.15,4.71
SUNRISE,7.56,3.5
SUNSET,7.64,2.75
SUPERMARKET,5.87,5.23
SUPERVISOR,4.61,5.88
SUPPER,6.61,4.67
SURF,6.36,4.79
SURGEON,5.04,6.41
SURVEY,5.52,5.02
SUSPECT,3.17,6.63
SWAMP,3.95,4.99
SWAN,6.64,3.61
SWATTER,4.05,5.58
SWEATER,5.86,3.84
SWIMMER,6.01,4.96
SWING,6.37,4.62
SWITCH,5.05,4.98
SWORD,5.07,6.58
SYRINGE,3.19,6.75
SYRUP,6.21,4.37
TABLE,5.58,4.21
TABLET,5.89,4.71
TACK,4.33,5.14
TAG,5.11,4.7
TAIL,5.3,4.79
TANGERINE,6.4,4.62
TANK,4.55,6.1
TAPE,5.27,4.52
TAPIOCA,5.1,4.43
TAR,3.67,4.96
TART,5.59,5.37
TAVERN,5.74,5.16
TAXI,5.17,5.33
TEA,6.47,3.54
TEACHER,6.11,5.34
TEAM,6.17,5.27
TEAPOT,6,3.82
TECHNICIAN,5.43,5.12
TEENAGER,5.05,5.67
TELEPHONE,5.7,5.32
TELESCOPE,6.21,5.16
TELEVISION,6.33,5.49
TEMPLE,5.64,4.24
TENT,5.82,4.29
TERMINAL,4.22,5.64
TERMITE,2.47,6.36
TERRITORY,5.09,5.27
THERMOMETER,5.13,5.15
THESAURUS,5.69,4.7
THICKET,4.64,4.91
THIEF,2.46,7.03
THIGH,5.39,4.95
THIMBLE,5.19,4.2
THORN,3.44,6.24
THREAD,5.43,4.15
THRONE,5.57,5.64
THUMB,5.38,4.42
TICK,2.74,6.2
TICKET,4.8,5.63
TIDE,5.92,4.1
TIE,5.31,4.44
TIGER,5.93,6.94
TILE,5.41,4.19
TIMBER,5.52,4.73
TOAD,4.62,4.86
TOAST,6.09,4.21
TOASTER,5.75,4.63
TOE,4.97,4.52
TOENAIL,4.07,5.11
TOILET,4.11,4.84
TOMATO,6.19,4.49
TOMB,3.3,5.83
TOMBSTONE,3.12,5.65
TONGUE,5.41,5.09
TOOL,5.52,5.28
TOOTH,5.23,5.19
TOOTHBRUSH,5.7,4.41
TOOTHPASTE,5.78,4.54
TORCH,5.07,6.12
TORNADO,2.86,7.72
TORTOISE,5.95,3.52
TOTE,5.29,4.46
TOURIST,5.4,5.24
TOWEL,5.76,3.94
TOWER,5.59,5.31
TOWN,5.83,4.8
TOY,6.82,5.25
TRACTOR,5.36,4.95
TRAIN,5.95,5.4
TRAITOR,2.5,7.04
TRANSPLANT,4.73,6.03
TRASH,3.07,5.43
TRAY,5.2,4.54
TREAD,5.12,4.8
TREASURE,7.33,6.42
TREAT,7.06,5.39
TREE,6.64,3.44
TRENCH,4.16,5.4
TRIANGLE,5.41,4.59
TRIBE,5.47,5.5
TRICYCLE,5.6,4.65
TRIGGER,4.08,6.7
TROMBONE,5.35,5.2
TROPHY,6.53,5.78
TROUSERS,5.38,4.65
TROUT,5.38,4.52
TRUCK,5.54,5.34
TRUMPET,5.74,5.68
TUB,5.52,3.52
TUBA,5.3,5.02
TUBE,5.06,4.55
TULIP,6.82,3.39
TUNA,5.4,4.76
TUNNEL,5.14,5.32
TURKEY,6.05,4.66
TURNIP,4.57,4.12
TURTLE,6.23,3.62
TUSK,4.92,5.26
TUTU,5.53,4.92
TUXEDO,5.96,5.34
TWEEZERS,4.78,5.22
TWIG,5.27,4.17
TWIN,5.86,4.88
TWINE,5.26,4.32
TWISTER,3.64,6.97
TYPEWRITER,5.49,4.68
TYPIST,5.37,4.74
ULCER,2.39,6.59
UMBRELLA,5.59,4.51
UMPIRE,4.91,5.49
UNCLE,6.22,4.45
UNDERWEAR,5.38,5.06
UNICORN,6.59,4.98
UNIFORM,4.9,5.15
UNIVERSE,6.77,5.48
UNIVERSITY,6.23,5.51
UTENSIL,5.28,4.56
VACUUM,4.9,5.01
VAGRANT,3.43,6.04
VALLEY,6.15,3.59
VALVE,5.21,4.7
VAMPIRE,3.93,7.14
VAN,5.12,4.84
VASE,5.75,3.92
VAULT,5.33,5.18
VEAL,4.66,5.05
VEGETABLE,6.17,4.18
VEHICLE,5.96,5.54
VEIN,4.56,5.65
VELVET,6.21,3.7
VENT,5.14,4.86
VENUS,6.12,5.29
VESSEL,5.46,5.09
VEST,5.17,4.39
VET,5.84,5.49
VETERAN,5.98,5.55
VICTIM,2.77,7.11
VICTOR,5.92,5.88
VIDEO,6.03,5.36
VIKING,5.1,6.11
VILLAGE,5.88,4.43
VILLAIN,2.6,7.01
VINE,5.63,4.24
VINEGAR,4.5,5.04
VIOLA,6.12,4.41
VIOLIN,6.19,4.12
VIRUS,2.39,7.02
VISITOR,5.71,5.36
VITAMIN,6.06,4.72
VOLCANO,4.31,7.02
VOLLEYBALL,5.85,5.32
VOLUNTEER,6.49,4.76
WAGON,5.44,4.67
WAIST,5.22,4.74
WAITER,5.7,4.82
WAITRESS,5.95,5.02
WALL,5.1,4.34
WALLET,5.81,5.22
WALNUT,5.88,4.4
WALRUS,5.63,5.14
WAND,5.72,4.93
WARDROBE,5.8,4.62
WAREHOUSE,4.97,4.78
WARRIOR,5.36,6.96
WART,2.64,5.83
WASHCLOTH,5.19,4.11
WASHER,5.54,4.77
WASP,2.63,6.89
WATER,6.92,3.8
WATERFALL,7.25,3.72
WAVE,6.45,4.28
WAX,4.91,4.7
WEB,4.8,5.04
WEED,4.26,5.12
WELL,5.89,3.93
WHALE,6.12,4.94
WHEAT,5.93,3.9
WHEEL,5.68,4.79
WHIP,3.8,6.5
WHISKERS,5.77,4.43
WHISTLE,5.22,5.73
WICK,5.15,4.63
WIDOW,3.57,5.47
WIFE,6.64,5.05
WILDERNESS,6.19,5.09
WINDOW,5.92,4.23
WINDSHIELD,5.18,4.84
WINE,6.26,4.43
WINGS,6.22,4.88
WINNER,7.09,6.37
WIRE,5.14,4.87
WITCH,3.74,6.57
WITNESS,5.09,5.74
WOLF,5.21,6.59
WOMAN,6.94,5.45
WORKER,5.52,5.44
WORLD,6.51,5.79
WORM,3.76,5.27
WOUND,2.64,6.86
WRENCH,4.93,5.1
WRIST,5.23,4.61
WRITER,6.21,4.89
XEROX,4.96,4.66
YACHT,6.11,4.74
YARD,6.02,4
YARN,5.7,3.76
